Rank,ID,Title,R1,R2,Score,Status
1,"P001","The Nature and Experience of Entrepreneurial Passion","Yes(4)","Yes(4)",8,Complete
2,"P021","Core capabilities and core rigidities: A paradox in managing new product development","Yes(4)","Yes(4)",8,Complete
3,"P004","Survival of the Fittest? Entrepreneurial Human Capital and the Persistence of Underperforming Firms","Yes(4)","Maybe Yes(3)",7,Complete
4,"P005","VENTURING FOR OTHERS WITH HEART AND HEAD: HOW COMPASSION ENCOURAGES SOCIAL ENTREPRENEURSHIP","Maybe Yes(3)","Yes(4)",7,Complete
5,"P014","Customer power, strategic investment, and the failure of leading firms","Maybe Yes(3)","Yes(4)",7,Complete
6,"P019","The Financing of Innovation","Maybe Yes(3)","Yes(4)",7,Complete
7,"P022","Mobility, Skills, and the Michigan Non-Compete Experiment","Yes(4)","Maybe Yes(3)",7,Complete
8,"P009","Why the Lean Start-Up Changes Everything","Maybe No(2)","Yes(4)",6,Complete
9,"P010","The Art of Continuous Change: Linking Complexity Theory and Time-Paced Evolution in Relentlessly Shifting Organizations","Yes(4)","Maybe No(2)",6,Complete
10,"P013","A Scienti c Approach to Entrepreneurial Decision Making:","Maybe Yes(3)","Maybe Yes(3)",6,Complete
11,"P016","The Theory-Based View: Economic Actors as Theorists","Maybe Yes(3)","Maybe Yes(3)",6,Complete
12,"P023","Firm boundaries matter: Evidence from conglomerates and R&D activity","Yes(4)","Maybe No(2)",6,Complete
13,"P006","Entrepreneurial Exits and Innovation","No(1)","Yes(4)",5,Complete
14,"P012","WHO LEAVES, WHERE TO, AND WHY WORRY? EMPLOYEE MOBILITY, ENTREPRENEURSHIP AND EFFECTS ON SOURCE FIRM PERFORMANCE","Yes(4)","No(1)",5,Complete
15,"P018","A Scientific Method for Startups","Maybe No(2)","Maybe Yes(3)",5,Complete
16,"P020","Structural Inertia and Organizational Change","No(1)","Yes(4)",5,Complete
17,"P027","Entrepreneurs as scientists: A pragmatist approach to producing value out of uncertainty","No(1)","Yes(4)",5,Complete
18,"P003","Competing Models of Entrepreneurial Intentions","Maybe Yes(3)","No(1)",4,Complete
19,"P026","Entrepreneurs as pragmatist scientists: A pragmatist alternative to the creation-discovery debate","No(1)","Maybe Yes(3)",4,Complete
20,"P002","How Do Feelings Influence Effort? An Empirical Study of Entrepreneurs’ Affect and Venture Effort","Maybe No(2)","No(1)",3,Complete
21,"P007","Exploitation, Exploration, and Process Management: The Productivity Dilemma Revisited","Maybe No(2)","No(1)",3,Complete
22,"P008","Does Going Public Affect Innovation?","Maybe No(2)","No(1)",3,Complete
23,"P011","Can You Gig It? An Empirical Examination of the Gig Economy and Entrepreneurial Activity","Maybe No(2)","No(1)",3,Complete
24,"P015","What Is a Patent Worth? Evidence from the U.S. Patent “Lottery”","Maybe No(2)","No(1)",3,Complete
25,"P017","Theory-Based Decisions: Foundations and Introduction","Maybe No(2)","No(1)",3,Complete
26,"P025","Screening Spinouts? How Noncompete Enforceability Affects the Creation, Growth, and Survival of New Firms","No(1)","Maybe No(2)",3,Complete
27,"P024","Prior Knowledge and the Discovery of Entrepreneurial Opportunities","No(1)","No(1)",2,Complete
