paper_id,title,method,reviewer_1,reviewer_2,score_1,score_2
P001,Free to innovate? Intellectual property (in)validation and  ,Mixed,Kenneth Huang,Andy Wu,92,92
P002,"When Rareness and Scarcity Interact: Complementary, Substitu",Mixed,Tony Tong,MJ Yang,92,85
P003,Data Privacy Regulation and Innovation,Mixed,Sina Sokhan,Tony Tong,92,92
P004,Who Hires Whom? Entrepreneurial Backgrounds and Labor Market,Mixed,Francisco Morales,Andy Wu,92,92
P005,Market Responses to AI Statements in Creative Domains,Mixed,Andy Wu,Mingtao Xu,92,92
P006,The Exclusive Nature of Private Solutions to Public Problems,Mixed,Wesley Koo,Danielle Bovenberg,70,53
P007,Leading like Scientists,Quantitative,Kenneth Huang,,53,0
P008,Accelerating Innovation through Complementary Human Capital:,Mixed,MJ Yang,Francisco Morales,92,92
P009,"Lean Thinking, Deep Impact? Early Exploration Strategies and",Mixed,Mingtao Xu,Andy Wu,92,92
P010,Innovative sovereignty: California tribes use of the nonprof,Mixed,Mingtao Xu,Kenneth Huang,70,70
P011,Knowledge Protection and Modularity of Innovation Activities,Mixed,Kenneth Huang,Aldona Kapacinskaite,92,92
P012,Time Tells: Unraveling the Temporal and Risk Dynamics of Ven,Mixed,Ashton Hawk,Mingtao Xu,92,70
P013,Social Investments and the Commodification of Community Conf,Mixed,Catherine Magelssen,Xiaoli Tang,70,53
P014,Moral Value Trade-offs and Decision Difficulty in Social Ent,Mixed,Wesley Koo,Sina Sokhan,70,53
P015,The Mean-Variance Innovation Tradeoff in AI-Augmented Evalua,Mixed,Andy Wu,Tony Tong,92,92
P016,"Delegation, Attention Allocation, and Innovation in Entrepre",Mixed,Anparasan Mahalingam,Tony Tong,92,92
P017,The Portability of Network Effects: How Platform Dependent E,Mixed,Anparasan Mahalingam,Andy Wu,92,92
P018,Board Gender Quotas and Women's Entrepreneurship: The Critic,Mixed,Francisco Morales,Janet Lee Elsie Bercovitz,70,70
P019,Performance as a Random Variable,Mixed,Francisco Morales,Danielle Bovenberg,85,53
P020,Democratizing Entrepreneurial Ecosystems: How Accessible AI ,Mixed,Andy Wu,Mingtao Xu,92,92
P021,Agglomeration Economy Dynamics and Demand Spillovers: Restau,Mixed,Janet Bercovitz,Sina Sokhan,89,53
P022,The Strategic Foresight of LLMs,Mixed,MJ Yang,Janet Lee Elsie Bercovitz,90,70
P023,"Common Ownership, Firm Hiring and the Allocation of Human Ca",Mixed,Francisco Morales,Metin Sengul,92,92
P024,To Balance or Not To Balance: Resource-Contingent Performanc,Mixed,Tony Tong,Metin Sengul,92,92
P025,Competitive Surprise: How Unexpected Moves Shape Business Ri,Mixed,Tony Tong,Metin Sengul,92,89
P026,Organizational Repression of Stakeholder Collective Action,Mixed,Janet Bercovitz,Wesley Koo,70,70
P027,Shaping an industry's value proposition as a strategic respo,Mixed,Tony Tong,MJ Yang,92,89
P028,When Autonomy Backfires: Adverse Selection in Startup Recrui,Mixed,Andy Wu,MJ Yang,92,92
P029,From Constraint to Capability: Sustainable Start-ups in Emer,Qualitative,Kenneth Huang,Wesley Koo,85,70
P030,"From Bits to Atoms: 3D Printing, Physical Validation, and Fi",Quantitative,Tony Tong,MJ Yang,92,89
P031,Endurance of chance? A longitudinal study of the U.S. land-g,Mixed,Danielle Bovenberg,,53,0
P032,Executives’ Use of Social Media as an Information Channel: E,Mixed,Anparasan Mahalingam,MJ Yang,92,85
P033,Escaping Stigma: Strategic Responses of Foreign Companies in,Mixed,Metin Sengul,Francisco Morales,85,70
P034,ASSESSING INITIAL PUBLIC OFFERING (IPO) STRATEGIC GROWTH PIV,Mixed,Janet Bercovitz,Anparasan Mahalingam,89,70
P035,Team Composition Responses to Employee Mobility Threats,Mixed,Francisco Morales,Kenneth Huang,92,92
P036,Nationalism Meets Entrepreneurship: Rise of Buy American Mov,Mixed,Janet Bercovitz,Janet Lee Elsie Bercovitz,89,70
P037,Unlocking Digital Value: Efficiency as a Mechanism and CSR a,Mixed,Anparasan Mahalingam,Wesley Koo,92,70
P038,Codification Creep,Qualitative,Danielle Bovenberg,Kenneth Huang,85,70
P039,The Governability of Strategy: Residual-Claim Ambiguity and ,Mixed,Catherine Magelssen,Anparasan Mahalingam,70,70
P040,"Mergers and Acquisitions (M&A), Inventor Turnover, and Netwo",Mixed,Janet Bercovitz,Janet Lee Elsie Bercovitz,92,92
P041,"How to Solve Quiet Quitting: Social Media Narratives, Worker",Mixed,Anparasan Mahalingam,Metin Sengul,92,92
P042,Limits to the Value of Entrepreneurial Experimentation? Star,Mixed,Anparasan Mahalingam,Wesley Koo,85,70
