Author,Primary Methods,Key Theories,Main Research Topics
Janet Bercovitz,Quantitative,"Transaction Cost Economics, Org. Learning","Academic Entrepreneurship, Tech Transfer"
Danielle Bovenberg,Qualitative,"Craft Knowledge, Org. Theory","Innovation, Knowledge Diffusion, Scientific Work"
Mukund Chari,Quantitative,"Transaction Cost Economics, Agency Theory","Intellectual Property, Patent Systems, Inventor Behavior"
Ashton Hawk,Quantitative,"Resource-Based View, Dynamic Capabilities","Investment Speed, Political Capital, Alliances"
Sina Sokhan,Quantitative,"Knowledge Recombination, IP Theory","Innovation Process, IP Rights, Pharma Innovation"
MJ Yang,"Quantitative, Mixed","Complementarity Theory, RBV","CEO Strategy, Tech Uniqueness, Industrial AI"
Kenneth Huang,"Quantitative, Mixed","Institutional Theory, Knowledge-Based View","IP Strategy, Innovation in China, Science Policy"
Aldona Kapacinskaite,Quantitative,"Resource-Based View, Appropriability Theory","Trade Secrets, Platform Competition, Org. Innovation"
Wesley W. Koo,"Quantitative, Mixed","Platform Theory, Institutional Theory","Platform Governance, Digital Entrepreneurship"
Catherine Magelssen,Quantitative,"Property Rights Theory, TCE","Multinational Strategy, IP Governance, Innovation"
Anparasan Mahalingam,Quantitative,"Platform Theory, Org. Economics","Digital Corporate Strategy, Platform Governance"
Francisco Morales,Quantitative,"Strategic Human Capital, Signaling Theory","Human Capital, Immigration, International Business"
Metin Sengul,Quantitative,"Org. Design Theory, Behavioral Theory","Org. Design, Multiunit Firms, Dual-Purpose Co."
Xiaoli (Shirley) Tang,"Quantitative, Mixed","Institutional Theory, Stakeholder Theory","Accountable Secrecy, Self-Regulation, Innovation"
Andy Wu,"Quantitative, Mixed","Org. Design Theory, Platform Theory","Entrepreneurship, Innovation, Platform Ecosystems"
Mingtao Xu,Quantitative,"Property Rights Theory, Org. Learning","AI & Strategy, Property Rights, Patent Litigation"
