id,title,link,keywords,abstract,authors,affiliations,original_filename,original_id
P001,Free to innovate? Intellectual property (in)validation and  standard development in wireless telecommunications,https://www.dropbox.com/scl/fi/o6pqlrmpt52l73lx805t2/R_100jcb12KPNrplQ_Free-to-innovate.pdf?rlkey=rtd6r4nmgcwovv0mwnljlb9ai&dl=0,"Patent challenges, PTAB, standard development organization, wireless communication technologies, innovation","We study the effect of patent invalidation on innovation of standard-related technologies through the examination process of the U.S. Patent Trial and Appeals Board (PTAB) that was launched in 2012 as part of the America Invents Act. We focus on the decision to “institute” a patent challenge. Institution is an administrative decision by the PTAB to rule on the validity of the patented claims. It is highly likely to lead to at least partial invalidation of the patent’s claims, and in most cases leads to the invalidation of all claims. We find that when a challenge to the validity of a standard essential patent (SEP) for 5G wireless networks is instituted in PTAB, it opens space in the technological domain for the rivals of the patent holder to make changes and create new features for the standard. These firms also file for additional patents. When the PTAB challenge is not instituted, meaning that the standard-essential patent was effectively validated, the rivals of the patent holder reduce their related standard contributions and patent filings. We conclude that the PTAB inter-partes review reveals strategically valuable information and allows firms to reposition themselves in the market for standardized technologies. In ongoing research, we explore how the characteristics of firms and their positions in the ecosystem moderate these outcomes","Gurneeta Vasudeva Singh, Stephen Jones, Aija Leiponen, Hao Wan",U of Minnesota; U of Washington; Cornell U.,R_100jcb12KPNrplQ_Free to innovate.pdf,R_100jcb12KPNrplQ
P002,"When Rareness and Scarcity Interact: Complementary, Substitution, and Conflicting Effects in Resource-Based Competitive Advantage",https://www.dropbox.com/scl/fi/jt8btmuhrqt6jd8v160pz/R_10tNBUVbXEYwifR_When-Rareness-and-Scarcity-Interact-_-Complementary-2C-Substitution-2C-and-Conflicting-Effects-in-Resource-Based-Competitive-Advantage.pdf?rlkey=y0wgyh494avxaulj7rxztb8u8&dl=0,resource-based view; rareness; scarcity; competitive advantage; interaction effects; strategic resources,"Resource-based theory has long held that resources must be limited in supply to generate competitive advantage. Two distinct traditions emerged—Barney’s emphasis on rareness (the degree to which a resource is possessed by few competing firms) and Peteraf’s emphasis on scarcity (the degree to which aggregate demand exceeds available supply)—which Peteraf and Barney (2003) reconciled as “very nearly the same.” While this phrasing left conceptual space for differences, subsequent literature has often treated rareness and scarcity as completely interchangeable. We refine this reconciliation by showing that while functionally similar, rareness and scarcity operate through sufficiently distinct mechanisms that their interaction creates dynamics interchangeability cannot predict. When resources exhibit both characteristics, three patterns emerge: complementary (mechanisms amplify advantage beyond additive effects), substitution (context determines dominance), and conflicting (mechanisms work at cross-purposes—differentiation creating unfulfillable demand, scarcity preventing network effects, or resource allocation dilemmas reducing net advantage below either alone). Conflicts indicate mechanistic distinction within functional similarity, as identical concepts cannot conflict. We specify boundary conditions determining patterns and examine how resource origins (exogenous versus endogenous) moderate strategic flexibility. Our framework refines Peteraf and Barney's reconciliation: functional similarity dominates when one mechanism operates; mechanistic distinctions require specification when both operate simultaneously.","Temitope Oladimeji, Shaker Zahra",University of Massachusetts; University of Minnesota,R_10tNBUVbXEYwifR_When Rareness and Scarcity Interact _ Complementary%2C Substitution%2C and Conflicting Effects in Resource-Based Competitive Advantage.pdf,R_10tNBUVbXEYwifR
P003,Data Privacy Regulation and Innovation,https://www.dropbox.com/scl/fi/7jhtsv3t05vx5ogn3vjyu/R_12rOoK4GDNpQmOi_Data-Privacy-Regulation-and-Innovation.pdf?rlkey=y5bspxwdmyt747ykcdvysu7xy&dl=0,Innovation; Privacy; Regulation; Collaboration; Experimentation,"We investigate how data privacy regulations shape research and development. While such regulations aim to increase stakeholder privacy and data security, they can also introduce costs in settings where collecting, analyzing, and sharing sensitive data is central to innovation. We examine this tension in the context of the pharmaceutical industry and the European Union’s (EU) General Data Protection Regulation (GDPR), the most comprehensive data privacy regulation to date. Leveraging firm-level variation in exposure to the GDPR, we find that the regulation lowers clinical trials by 18 percent. Firms also shift the types of projects they pursue: trials are less likely to include sites in the EU, be conducted across multiple countries, and target a narrower set of diseases. Research collaborations decline overall and shift away from new partners towards established relationships. When looking at project outcomes, we observe that trials take longer to complete, are less likely to succeed, and report results with greater delay. The decline in clinical trial activity is greatest among young firms. These findings reveal how data privacy regulations shape not only the rate of innovation, but also the process by which it is pursued and its outcomes.","Sukhun Kang, Jennifer Kao",UCSB; UCLA,R_12rOoK4GDNpQmOi_Data Privacy Regulation and Innovation.pdf,R_12rOoK4GDNpQmOi
P004,Who Hires Whom? Entrepreneurial Backgrounds and Labor Market Opportunities,https://www.dropbox.com/scl/fi/obq0h522dlswgmdlruc08/R_16hXk5pPcgzoHqC_Who-Hires-Whom-Entrepreneurial-Backgrounds-and-Labor-Market-Opportunities.pdf?rlkey=yk0bpe7386l9voxhrkomhg0vg&dl=0,Entrepreneurship; hiring,"What are the implications of unequal access to entrepreneurial careers for labor markets? Using data from the U.S. Census and LinkedIn profiles, we document that entrepreneurs are significantly more likely to hire workers from similar social backgrounds (gender, race, age, education, etc.). These effects are quantitatively large across the demographic dimensions available to us. For example, female employee share at female founded startups are 36.4pp higher after controlling for industry-by-metro area-by-cohort, with the corresponding estimates of 51.2pp for Blacks, 37.3pp for Hispanics, and 11.3pp for non-college individuals. Large effects are present in high-growth startups, across industries and occupations, and remain stable across new firm cohorts. In addition, differences across new firms in the composition of their workers strongly persist over the firm's first ten years. We use wage data to untangle whether the relative differences are driven by labor demand or labor supply effects: group-specific wage decompositions suggest that new firms pay higher relative wages to individuals from similar backgrounds to the entrepreneur. We calibrate a labor demand model using our empirical findings to assess the potential wage impacts of reducing access barriers to entrepreneurial careers, finding quantitatively significant increases in relative wage for women (2.77 percent), Blacks (4.36 percent), and Hispanics (2.26 percent).","Josh Feng, Xavier Jaravel",University of Utah - David Eccles School of Business; London School of Economics,R_16hXk5pPcgzoHqC_Who Hires Whom Entrepreneurial Backgrounds and Labor Market Opportunities.pdf,R_16hXk5pPcgzoHqC
P005,Market Responses to AI Statements in Creative Domains,https://www.dropbox.com/scl/fi/ulqney8q664u8srx1qsad/R_18Zd46zOZks73sZ_Market-Responses-to-AI-Statements-in-Creative-Domains.pdf?rlkey=2myjt96ot5kg39gd0mwi22vky&dl=0,"artificial intelligence, entrepreneurship, market response, skill substitution","Generative artificial intelligence (AI) can raise entrepreneurial productivity, yet market response also depends on how products are evaluated, particularly in creative domains where human craft is central. Prior work emphasizes AI's internal benefits but offers limited evidence on how market evaluations of products change when entrepreneurs make visible statements about AI use. As platforms increasingly require AI-use disclosures, understanding the market consequences of such positioning becomes critical. We examine this using Kickstarter's AI-disclosure policy, analyzing 42,745 crowdfunding campaigns of products launched after its introduction. We compare projects that disclose AI use, projects that adopt anti-AI narratives, and projects that remain silent about AI. Relative to silent projects, AI-disclosing campaigns attract 33\% fewer backers and are 11.9 percentage points less likely to reach their funding goals, whereas anti-AI narratives are associated with 29\% more backers and a 3.9 percentage points higher success rate. Among AI-disclosing projects, framing AI as assisting rather than replacing human work substantially reduces the penalty. The results show that visible statements about AI use serve as consequential elements of market positioning in creative domains, creating tensions between transparency and market performance.","Mana Heshmati, Ming zhu Wang","University of Washington, Seattle",R_18Zd46zOZks73sZ_Market Responses to AI Statements in Creative Domains.pdf,R_18Zd46zOZks73sZ
P006,The Exclusive Nature of Private Solutions to Public Problems: Evidence from (For-profit) US Charter Schools,https://www.dropbox.com/scl/fi/cqk2rg3zi2tco8o5ug1h8/R_1EAFrKXVGzMuQvS_The-Exclusive-Nature-of-Private-Solutions-to-Public-Problems.pdf?rlkey=d6t0iqbchzcn7vi3e5vptcxmm&dl=0,"Organizational Forms, Competition, Social Impact, Social Issues and Grand Challenges, SDG4","The growing research on private solutions like CSR initiatives, non-profits, and public-private partnerships (PPPs) for addressing social issues has focused on the effectiveness of these private solutions for their direct recipients; however, the effect of these solutions on non-recipients is not well understood. This poses critical questions: Are these solutions inclusive, meaning do they serve vulnerable populations? What are their broader impacts on non-recipients? Do they generate broader positive impacts, or do they benefit recipients while disadvantaging non-recipients? These concerns are particularly pertinent when private solutions to social issues coexist with and compete against existing public solutions, potentially reducing the latter’s effectiveness. In this paper, I examine how private solutions to social issues might negatively impact existing public providers. First, private solutions could diminish support for public providers at the local level, leading to fewer resources raised for the public provider by local communities. Second, private providers, if profit-motivated, might serve more economically viable segments, leaving less viable ones to public providers, thereby increasing the latter’s production costs. I explore these mechanisms in the context of US public education, where charter schools (private provider) coexist and compete with traditional public schools (public provider). I find that the entry of charter schools, particularly for-profit ones, reduces local support for traditional public schools (TPS), as evidenced by decreased per-pupil local revenues and fewer successful school referenda for additional funding. Furthermore, using a quasi-natural experiment, I demonstrate that TPS grades exposed to for-profit charter schools see an increase in the proportion of economically disadvantaged and disabled students. I also show that these effects are mostly mitigated if the private provider is organized as a non-profit or if safeguards are put in place to prevent exclusionary behaviors by for-profit private providers.",Farzam Boroomand,University of South Carolina,R_1EAFrKXVGzMuQvS_The Exclusive Nature of Private Solutions to Public Problems.pdf,R_1EAFrKXVGzMuQvS
P007,Leading like Scientists,https://www.dropbox.com/scl/fi/2pfmfa0tnbnixjekd31w6/R_1HLC6XdAwqHNda9_LeadingLikeScientists.pdf?rlkey=7g4h1al46rr2n7w6t5i6mcrdn&dl=0,"Decision-Making, Scientific-approach, Leadership, STEM, Regression Discontinuity Design, Scientific Intensity","Decision making under uncertainty can improve when leaders define problems, test hypothe- ses, and update beliefs as evidence accumulates. We capture this logic in a simple analytical model where scientific training and experience increases the returns to experimentation by improving Bayesian updating. We test its implications during COVID-19 using a regression discontinuity design around close leader elections, comparing municipalities narrowly won by STEM-trained leaders with those narrowly won by non-STEM leaders. The estimates indi- cate about 36 fewer deaths per 100,000 inhabitants under STEM-educated mayors. Consistent with the model, the advantage is strongest where mayors have longer experience in STEM occupations and appears linked to more feedback-rich policy adjustment.","Ricardo Laverde-Cubillos, Gabriel Caser dos Passos",Insper; World Bank,R_1HLC6XdAwqHNda9_LeadingLikeScientists.pdf,R_1HLC6XdAwqHNda9
P008,Accelerating Innovation through Complementary Human Capital: Revisiting First-Mover Advantages,https://www.dropbox.com/scl/fi/54t04l4dc6fqfhn8bwiwn/R_1NDExTW0LdMEcYE_Accelerating-Innovation-through-Complementary-Human-Capital.pdf?rlkey=zmf0wejv1b52p6ilxd3uvps7u&dl=0,"complementary human capital, first-mover advantages, founding teams, market entry, resource-based view","Strategic management literature has long acknowledged the role of resources and capabilities in enabling early entry into new markets, recognizing that both incumbents and startups can become pioneers, albeit in diﬀerent ways. Yet, little is known about why incumbents often prefer late entry or why startups choose to compete as non-followers. Conceptualizing complementary human capital as a superior resource, this study abductively develops the most plausible explanation for these “why” questions through the lens of first-mover advantages (FMA). Drawing on quantitative data on biopharmaceutical innovations since the 1980s, the study traces the process of becoming innovators in the biologics market back to human capital at founding, revealing divergent innovation pathways between incumbents and startups. To explain this variability, a comparative historical analysis of innovators that collectively formed the first group of non-follower pioneers in gene therapy, which emerged from the biologics market, shows that only incumbents were able to achieve first-mover advantages and/or benefits across the two markets. Although lacking such advantages, non-follower startup pioneers competed by forming founding teams with complementary human capital grounded in academic entrepreneurship and by creating value through serial entrepreneurship. In contrast, solely founded startup pioneers compensated for their lack of complementary human capital through employee entrepreneurship.",Julia Y. Lee,"Department of Management and Entrepreneurship, University of Nevada, Las Vegas",R_1NDExTW0LdMEcYE_Accelerating Innovation through Complementary Human Capital.pdf,R_1NDExTW0LdMEcYE
P009,"Lean Thinking, Deep Impact? Early Exploration Strategies and Commercialization of Deeptech Ventures",https://www.dropbox.com/scl/fi/z7etgnesjomy50cm7sko7/R_1PAvy2AZuq8hHuR_Lean-Thinking-DeepImpact_Exploration-Strategies-and-Commercialization-of-Deeptech-Ventures.pdf?rlkey=a66npvzarox77hxyvaunvr552&dl=0,parallel exploration; organizational learning; science & technology; entrepreneurial strategy; additive manufacturing.,"This paper examines how early exploration strategies, sequential or parallel, shape the financial and innovation trajectories of deeptech ventures. These firms must navigate multiple dimensions of uncertainty, including technological feasibility. Moreover, they rely on physical assets to commercialize, making exploration costly. Prior research on entrepreneurial strategy emphasizes experimentation to resolve uncertainty but largely focuses on asset-light settings such as software. Even lean startup methods, which encourage early commercial exploration, are better suited to digital ventures where uncertainty is primarily market-based. Consequently, less is known about the implications of exploration strategy in high-uncertainty, asset-intensive environments. I assembled a novel longitudinal dataset of 13,790 hardware-oriented ventures using primary and archival sources, augmented by machine learning and NLP. Employing multiple empirical strategies, including an exogenous technological development (3D printing), the study finds that parallel exploration improves early commercial outcomes by accelerating market learning and mitigating information frictions, yet risks premature technological lock-in. In contrast, sequential exploration fosters deeper learning, yielding long-run financial and innovation performance.
These results highlight the trade-offs faced by boundedly rational entrepreneurs as they balance resolving uncertainty with enhancing organizational learning. The study extends research on entrepreneurial strategy and experimentation to asset-intensive contexts and delineates the boundary conditions under which lean methods are effective in scaling science and technology ventures.",Vinay Subramanian,"Wharton, University of Pennsylvania",R_1PAvy2AZuq8hHuR_Lean Thinking DeepImpact_Exploration Strategies and Commercialization of Deeptech Ventures.pdf,R_1PAvy2AZuq8hHuR
P010,Innovative sovereignty: California tribes use of the nonprofit corporation,https://www.dropbox.com/scl/fi/alyfzgapk5xjb5ei6frnb/R_1hQ16VquAQ2QOf7_diamond-kuan-2026.pdf?rlkey=ard60kxmfn1svhds09kbrl40f&dl=0,"Indigenous, Native American, Indian, land back, nonprofit organization, corporation, land trust",Native American tribes in California are uniquely disadvantaged as a result of historical circumstances set in motion during California’s statehood. Most tribes are largely landless with scant hope of federal recognition. Innovative efforts using a nonprofit organizational form—the nonprofit land trust—constitutes a new mechanism for regaining access to their traditional land. We explain the history of California Indian tribes’ particular plight and the successful strategies being used in the land-back movement. We suggest that this approach to acquiring land is superior to existing strategies involving the federal government. Future research could examine how applicable this strategy is globally.,"Jenny Kuan, Stephen Diamond",California State University Monterey Bay; Santa Clara University,R_1hQ16VquAQ2QOf7_diamond kuan 2026.pdf,R_1hQ16VquAQ2QOf7
