Rank,ID,Title,R1_Name,R1_Decision,R1_Score,R2_Name,R2_Decision,R2_Score,Total_Score,Status,Accepted,Conflict,PDF_Link
1,"P053","Competitive Dynamics in Sharing Economy Markets - Sample 53","Janet Lee Elsie Bercovitz","Yes",4,"FJ Morales","Yes",4,8,Complete,ACCEPTED,,""
2,"P089","Competitive Dynamics in Sharing Economy Markets - Sample 89","Janet Lee Elsie Bercovitz","Yes",4,"MJ Yang","Yes",4,8,Complete,ACCEPTED,,""
3,"P129","Platform Governance and Ecosystem Health - Sample 129","Xiaoli Tang","Yes",4,"Andy Wu","Yes",4,8,Complete,ACCEPTED,,""
4,"P198","CEO Narcissism and Strategic Risk-Taking - Sample 198","Wesley W. Koo","Yes",4,"Andy Wu","Yes",4,8,Complete,ACCEPTED,,""
5,"P002","How Do Feelings Influence Effort? an Empirical Study of Entrepreneurs' Affect and Venture Effort","FJ Morales","Maybe Yes",3,"Andy Wu","Yes",4,7,Complete,ACCEPTED,,"https://www.dropbox.com/scl/fi/but49tn6167vy45i2wpzu/18-Foo-et-al.-2009.pdf?rlkey=tppopr7uzreasfvl6yrr0vqys&dl=0"
6,"P010","The Art of Continuous Change: Linking Complexity Theory and Time-Paced Evolution in Relentlessly Shifting Organizations","Sina Sokhan","Maybe Yes",3,"Catherine Magelssen","Yes",4,7,Complete,ACCEPTED,,"https://www.dropbox.com/scl/fi/6ial4nb1z1vn3u2xshgct/Brown-S.-L.-Eisenhardt-K.-M.-1997-.-The-art-of-continuous-change-Linking-complexity-theory-and-time-paced-evolution-in-relentlessly-shifting-organizations.pdf?rlkey=zssxdszxu9q36i9gx85tscy4p&dl=0"
7,"P011","Can You Gig It? an Empirical Examination of the Gig Economy and Entrepreneurial Activity","Sina Sokhan","Yes",4,"Mingtao Xu","Maybe Yes",3,7,Complete,ACCEPTED,,"https://www.dropbox.com/scl/fi/fwhxmwqkcxqwz0zt7xl5f/Burtch-G.-Carnahan-S.-Greenwood-B.-N.-2018-.-Can-you-gig-it-An-empirical-examination-of-the-gig-economy-and-entrepreneurial-activity.pdf?rlkey=8bo94mbfry9kaurxpw8vilswa&dl=0"
8,"P013","A Scientific Approach to Entrepreneurial Decision Making","Catherine Magelssen","Maybe Yes",3,"Anparasan Mahalingam","Yes",4,7,Complete,ACCEPTED,,"https://www.dropbox.com/scl/fi/rdpkrx8f0zwzk09eobcgu/Camuffo-Cordova-Gambardella-Spina-MS-2020-A-scientific-approach-to-entrepreneurial-decision-making-Evidence-from-a-randomized-control-trial.pdf?rlkey=r3wu8qegxi9za4buhilsxr0rz&dl=0"
9,"P020","Structural Inertia and Organizational Change","Janet Lee Elsie Bercovitz","Maybe Yes",3,"Aldona Kapacinskaite","Yes",4,7,Complete,ACCEPTED,,"https://www.dropbox.com/scl/fi/2x7quxbet5f48b00ynkn6/Hannan-Freeman-1984-Structural-Inertia-and-Organizational-Change.pdf?rlkey=1af68x8cdpunyw4x5l59kf7c3&dl=0"
10,"P028","Knowledge Transfer in Cross-Border Acquisitions - Sample 28","Mukund Chari","Maybe Yes",3,"Metin Sengul","Yes",4,7,Complete,ACCEPTED,,""
11,"P029","Competitive Dynamics in Sharing Economy Markets - Sample 29","Sina Sokhan","Maybe Yes",3,"Andy Wu","Yes",4,7,Complete,ACCEPTED,,""
12,"P040","Knowledge Transfer in Cross-Border Acquisitions - Sample 40","Wesley W. Koo","Maybe Yes",3,"Catherine Magelssen","Yes",4,7,Complete,ACCEPTED,,""
13,"P044","Institutional Voids and Multinational Strategy - Sample 44","Aldona Kapacinskaite","Maybe Yes",3,"Wesley W. Koo","Yes",4,7,Complete,ACCEPTED,,""
14,"P048","Stakeholder Orientation and Long-Term Value Creation - Sample 48","Janet Lee Elsie Bercovitz","Yes",4,"FJ Morales","Maybe Yes",3,7,Complete,ACCEPTED,,""
15,"P061","Dynamic Capabilities in Digital Platform Ecosystems - Sample 61","Janet Lee Elsie Bercovitz","Maybe Yes",3,"Wesley W. Koo","Yes",4,7,Complete,ACCEPTED,,""
16,"P069","Platform Governance and Ecosystem Health - Sample 69","Ashton Lewis Hawk","Maybe Yes",3,"Anparasan Mahalingam","Yes",4,7,Complete,ACCEPTED,,""
17,"P087","Corporate Political Activity in Emerging Markets - Sample 87","Kenneth Huang","Maybe Yes",3,"Catherine Magelssen","Yes",4,7,Complete,ACCEPTED,,""
18,"P098","Alliance Portfolio Diversity and Innovation Performance - Sample 98","Xiaoli Tang","Maybe Yes",3,"Tony Tong","Yes",4,7,Complete,ACCEPTED,,""
19,"P107","Digital Transformation and Organizational Ambidexterity - Sample 107","Aldona Kapacinskaite","Yes",4,"Xiaoli Tang","Maybe Yes",3,7,Complete,ACCEPTED,,""
20,"P115","Open Innovation and Appropriability Regimes - Sample 115","Andy Wu","Yes",4,"Mingtao Xu","Maybe Yes",3,7,Complete,ACCEPTED,,""
21,"P130","Strategic Human Capital and Competitive Advantage - Sample 130","Aldona Kapacinskaite","Yes",4,"Catherine Magelssen","Maybe Yes",3,7,Complete,ACCEPTED,,""
22,"P138","CEO Narcissism and Strategic Risk-Taking - Sample 138","FJ Morales","Yes",4,"Mingtao Xu","Maybe Yes",3,7,Complete,ACCEPTED,,""
23,"P147","Corporate Political Activity in Emerging Markets - Sample 147","Danielle Bovenberg","Yes",4,"Aldona Kapacinskaite","Maybe Yes",3,7,Complete,ACCEPTED,,""
24,"P148","Knowledge Transfer in Cross-Border Acquisitions - Sample 148","Mukund Chari","Maybe Yes",3,"Sina Sokhan","Yes",4,7,Complete,ACCEPTED,,""
25,"P155","Digital Transformation and Organizational Ambidexterity - Sample 155","Mukund Chari","Yes",4,"Anparasan Mahalingam","Maybe Yes",3,7,Complete,ACCEPTED,,""
26,"P156","Stakeholder Orientation and Long-Term Value Creation - Sample 156","Catherine Magelssen","Yes",4,"Mingtao Xu","Maybe Yes",3,7,Complete,ACCEPTED,,""
27,"P158","Alliance Portfolio Diversity and Innovation Performance - Sample 158","Sina Sokhan","Yes",4,"FJ Morales","Maybe Yes",3,7,Complete,ACCEPTED,,""
28,"P160","Knowledge Transfer in Cross-Border Acquisitions - Sample 160","Aldona Kapacinskaite","Maybe Yes",3,"Wesley W. Koo","Yes",4,7,Complete,ACCEPTED,,""
29,"P166","Strategic Human Capital and Competitive Advantage - Sample 166","Kenneth Huang","Yes",4,"Aldona Kapacinskaite","Maybe Yes",3,7,Complete,ACCEPTED,,""
30,"P171","Corporate Political Activity in Emerging Markets - Sample 171","Danielle Bovenberg","Yes",4,"Catherine Magelssen","Maybe Yes",3,7,Complete,ACCEPTED,,""
31,"P174","CEO Narcissism and Strategic Risk-Taking - Sample 174","MJ Yang","Maybe Yes",3,"Xiaoli Tang","Yes",4,7,Complete,ACCEPTED,,""
32,"P195","Corporate Political Activity in Emerging Markets - Sample 195","Janet Lee Elsie Bercovitz","Yes",4,"FJ Morales","Maybe Yes",3,7,Complete,ACCEPTED,,""
33,"P008","Does Going Public Affect Innovation?","Janet Lee Elsie Bercovitz","Maybe No",2,"Kenneth Huang","Yes",4,6,Complete,ACCEPTED,,"https://www.dropbox.com/scl/fi/bhx4epittwb6k59yg71pp/Bernstein-S.-2015-.-Does-going-public-affect-innovation.pdf?rlkey=98b7z5tasek5zkm272lxukag3&dl=0"
34,"P015","What Is a Patent Worth? Evidence From the U.S. Patent “Lottery”","Ashton Lewis Hawk","Maybe Yes",3,"Tony Tong","Maybe Yes",3,6,Complete,ACCEPTED,,"https://www.dropbox.com/scl/fi/wlm5fh8cqho5i8j87f974/Farre-Mensa-J.-Hegde-D.-Ljungqvist-A.-2020-.-What-is-a-patent-worth-Evidence-from-the-US-patent-lottery.pdf?rlkey=bkn2z35c2xwxw4k2kwwqr5l4e&dl=0"
35,"P018","A Scientific Method for Startups","FJ Morales","Yes",4,"Mingtao Xu","Maybe No",2,6,Complete,ACCEPTED,,"https://www.dropbox.com/scl/fi/p6k9zbkioj7adkih6wpeu/Felin-Gambardella-Novelli-Zenger-JOM-2024-A-scientific-method-for-startups.pdf?rlkey=f1h38jcb3ux0ha2jfllmwqm9p&dl=0"
36,"P033","Platform Governance and Ecosystem Health - Sample 33","Sina Sokhan","Maybe No",2,"Catherine Magelssen","Yes",4,6,Complete,ACCEPTED,,""
37,"P035","Digital Transformation and Organizational Ambidexterity - Sample 35","Anparasan Mahalingam","Maybe No",2,"Andy Wu","Yes",4,6,Complete,ACCEPTED,,""
38,"P036","Stakeholder Orientation and Long-Term Value Creation - Sample 36","Mukund Chari","Yes",4,"Xiaoli Tang","Maybe No",2,6,Complete,ACCEPTED,,""
39,"P037","Dynamic Capabilities in Digital Platform Ecosystems - Sample 37","FJ Morales","Maybe Yes",3,"Mingtao Xu","Maybe Yes",3,6,Complete,ACCEPTED,,""
40,"P057","Platform Governance and Ecosystem Health - Sample 57","Mukund Chari","Maybe No",2,"Catherine Magelssen","Yes",4,6,Complete,ACCEPTED,,""
41,"P058","Strategic Human Capital and Competitive Advantage - Sample 58","Wesley W. Koo","Yes",4,"Metin Sengul","Maybe No",2,6,Complete,ACCEPTED,,""
42,"P060","Stakeholder Orientation and Long-Term Value Creation - Sample 60","Danielle Bovenberg","Maybe No",2,"Catherine Magelssen","Yes",4,6,Complete,ACCEPTED,,""
43,"P067","Open Innovation and Appropriability Regimes - Sample 67","Janet Lee Elsie Bercovitz","Maybe Yes",3,"Mingtao Xu","Maybe Yes",3,6,Complete,ACCEPTED,,""
44,"P068","Institutional Voids and Multinational Strategy - Sample 68","Mukund Chari","Maybe No",2,"Metin Sengul","Yes",4,6,Complete,ACCEPTED,,""
45,"P070","Strategic Human Capital and Competitive Advantage - Sample 70","Ashton Lewis Hawk","Yes",4,"Tony Tong","Maybe No",2,6,Complete,ACCEPTED,,""
46,"P074","Alliance Portfolio Diversity and Innovation Performance - Sample 74","Sina Sokhan","Maybe No",2,"Mingtao Xu","Yes",4,6,Complete,ACCEPTED,,""
47,"P079","Open Innovation and Appropriability Regimes - Sample 79","MJ Yang","Maybe Yes",3,"Anparasan Mahalingam","Maybe Yes",3,6,Complete,ACCEPTED,,""
48,"P084","Stakeholder Orientation and Long-Term Value Creation - Sample 84","Anparasan Mahalingam","Maybe Yes",3,"Xiaoli Tang","Maybe Yes",3,6,Complete,ACCEPTED,,""
49,"P090","CEO Narcissism and Strategic Risk-Taking - Sample 90","Metin Sengul","Yes",4,"Mingtao Xu","Maybe No",2,6,Complete,ACCEPTED,,""
50,"P096","Stakeholder Orientation and Long-Term Value Creation - Sample 96","Janet Lee Elsie Bercovitz","Yes",4,"Sina Sokhan","Maybe No",2,6,Complete,ACCEPTED,,""
51,"P097","Dynamic Capabilities in Digital Platform Ecosystems - Sample 97","Janet Lee Elsie Bercovitz","Yes",4,"FJ Morales","Maybe No",2,6,Complete,ACCEPTED,,""
52,"P102","CEO Narcissism and Strategic Risk-Taking - Sample 102","MJ Yang","Maybe No",2,"FJ Morales","Yes",4,6,Complete,ACCEPTED,,""
53,"P103","Open Innovation and Appropriability Regimes - Sample 103","Danielle Bovenberg","Maybe Yes",3,"Catherine Magelssen","Maybe Yes",3,6,Complete,ACCEPTED,,""
54,"P117","Platform Governance and Ecosystem Health - Sample 117","Aldona Kapacinskaite","Maybe Yes",3,"Wesley W. Koo","Maybe Yes",3,6,Complete,ACCEPTED,,""
55,"P124","Knowledge Transfer in Cross-Border Acquisitions - Sample 124","Janet Lee Elsie Bercovitz","Yes",4,"MJ Yang","Maybe No",2,6,Complete,ACCEPTED,,""
56,"P125","Competitive Dynamics in Sharing Economy Markets - Sample 125","Mukund Chari","Maybe No",2,"Aldona Kapacinskaite","Yes",4,6,Complete,ACCEPTED,,""
57,"P126","CEO Narcissism and Strategic Risk-Taking - Sample 126","Danielle Bovenberg","Yes",4,"Catherine Magelssen","Maybe No",2,6,Complete,ACCEPTED,,""
58,"P128","Institutional Voids and Multinational Strategy - Sample 128","Ashton Lewis Hawk","Maybe Yes",3,"Sina Sokhan","Maybe Yes",3,6,Complete,ACCEPTED,,""
59,"P132","Stakeholder Orientation and Long-Term Value Creation - Sample 132","Anparasan Mahalingam","Yes",4,"FJ Morales","Maybe No",2,6,Complete,ACCEPTED,,""
60,"P136","Knowledge Transfer in Cross-Border Acquisitions - Sample 136","Mukund Chari","Maybe No",2,"Wesley W. Koo","Yes",4,6,Complete,ACCEPTED,,""
61,"P152","Institutional Voids and Multinational Strategy - Sample 152","FJ Morales","Yes",4,"Tony Tong","Maybe No",2,6,Complete,ACCEPTED,,""
